C_perc,H_perc,N_perc,O_perc,S_perc
26.35,13.19,53.01,7.22,0.23
26.88,13.25,52.68,7.09,0.1
27.15,13.37,52.35,6.98,0.15
26.35,13.83,52.64,7.06,0.13
26.19,13.24,53.0,7.24,0.34
26.39,13.18,53.08,7.22,0.13
26.5,13.27,52.83,7.2,0.2
26.89,13.14,52.06,7.43,0.49
26.47,12.64,52.78,7.78,0.32
26.88,12.69,53.17,7.11,0.15
26.41,13.14,53.11,7.16,0.18
25.89,13.44,53.48,7.06,0.13
26.23,13.18,53.18,7.2,0.21
27.48,12.55,52.51,7.4,0.06
26.32,13.12,53.2,7.23,0.13
28.4,11.82,52.56,7.23,0.0
26.28,13.5,53.23,6.87,0.11
26.5,12.32,53.22,7.75,0.21
26.95,13.04,52.72,7.08,0.21
26.22,13.46,53.13,7.01,0.19
26.3,13.01,53.75,6.65,0.29
26.05,13.09,53.32,7.36,0.18
26.86,13.1,52.76,7.11,0.17
26.05,13.31,53.17,7.21,0.27
26.91,13.18,52.56,7.21,0.14
26.03,13.71,53.2,6.86,0.19
27.12,13.28,52.57,6.88,0.15
26.22,13.37,52.97,7.26,0.17
26.17,13.58,52.99,7.13,0.12
26.17,13.25,53.17,7.23,0.18
26.8,13.56,52.34,7.07,0.23
26.54,14.24,52.37,6.85,0.0
25.79,13.45,53.56,7.02,0.18
25.87,13.61,52.85,7.16,0.52
26.43,13.11,52.81,7.33,0.33
26.22,13.38,52.59,7.55,0.26
26.29,13.6,52.86,7.06,0.19
26.13,13.35,52.97,7.34,0.2
26.49,13.51,52.84,6.97,0.19
26.29,13.8,52.56,7.08,0.27
26.12,13.34,53.45,6.93,0.16
26.47,13.47,53.0,6.86,0.2
26.69,13.01,53.3,6.78,0.22
25.94,13.54,53.18,7.18,0.15
26.06,13.43,52.95,7.25,0.31
26.94,12.62,53.09,7.16,0.2
26.67,13.19,52.91,7.23,0.0
27.19,12.67,53.13,6.81,0.2
26.5,13.37,52.4,7.54,0.19
26.53,13.33,52.56,7.46,0.13
26.65,13.1,52.73,7.3,0.22
26.09,13.27,53.39,7.06,0.18
25.72,14.1,52.25,7.62,0.3
26.65,13.08,52.64,7.4,0.23
26.74,13.63,52.77,6.71,0.15
26.59,13.14,52.87,7.24,0.16
27.09,13.35,52.21,7.11,0.24
27.1,13.25,52.53,7.02,0.1
27.13,12.54,53.23,6.9,0.2
26.49,13.42,52.41,7.56,0.12
26.62,15.04,51.24,6.89,0.21
25.74,13.33,53.11,7.33,0.48
26.18,13.33,53.13,7.21,0.15
25.75,13.61,53.31,7.16,0.16
25.75,14.27,52.37,7.5,0.11
26.49,12.45,52.95,7.92,0.19
26.09,13.11,53.0,7.49,0.3
26.66,13.25,52.44,7.54,0.1
26.16,13.3,52.88,7.3,0.37
26.43,13.34,52.78,7.42,0.04
27.17,13.11,52.45,6.95,0.32
26.89,12.93,53.15,6.9,0.13
26.12,13.63,52.63,7.28,0.34
26.83,13.39,52.38,7.31,0.08
26.37,13.19,53.06,7.04,0.35
26.64,13.56,52.27,7.41,0.13
26.03,13.4,53.06,7.42,0.09
27.57,12.62,52.59,6.94,0.28
26.33,13.41,52.91,7.09,0.26
27.25,12.85,52.92,6.84,0.15
26.05,13.27,53.13,7.27,0.28
26.79,13.53,52.89,6.68,0.11
26.06,13.65,52.93,7.07,0.29
26.97,13.21,52.7,7.05,0.07
26.73,13.22,52.85,7.0,0.2
26.53,13.35,52.61,7.23,0.28
26.73,13.25,52.47,7.29,0.25
26.18,13.04,53.29,7.21,0.29
26.86,13.14,52.33,7.36,0.31
26.4,13.0,53.15,7.22,0.24
27.15,13.18,52.68,6.75,0.24
26.83,12.84,52.71,7.38,0.25
25.92,13.44,53.34,7.17,0.12
26.55,13.04,52.97,7.27,0.16
26.01,13.72,53.05,7.14,0.08
27.19,13.21,52.28,7.09,0.22
26.75,12.69,52.88,7.45,0.22
26.94,14.02,51.85,6.84,0.35
27.19,12.84,52.74,7.08,0.15
26.25,13.09,52.98,7.36,0.32
26.66,13.2,52.74,7.14,0.26
24.76,12.93,53.69,8.43,0.2
26.81,12.83,52.71,7.47,0.18
26.96,13.1,52.65,7.17,0.12
26.44,13.42,52.92,7.03,0.2
27.12,13.33,52.4,7.02,0.12
26.1,14.31,52.1,7.29,0.19
27.0,13.32,52.44,6.99,0.25
26.21,12.77,54.04,6.58,0.39
26.47,13.04,52.62,7.66,0.21
26.96,12.9,52.76,7.19,0.19
27.12,13.14,52.08,7.48,0.18
26.83,14.12,52.29,6.72,0.04
26.86,13.04,52.77,7.21,0.11
25.88,13.15,53.39,7.48,0.1
26.03,13.77,52.86,7.17,0.17
26.66,13.05,53.07,6.97,0.24
26.65,13.24,52.75,7.16,0.21
25.85,13.3,53.49,7.14,0.22
26.8,13.5,52.42,7.25,0.02
26.43,13.09,52.75,7.53,0.2
26.16,13.17,53.13,7.27,0.28
26.17,13.16,53.36,6.99,0.33
25.28,13.85,53.46,7.09,0.32
26.83,13.47,52.47,7.1,0.13
26.67,13.19,52.75,7.07,0.32
26.59,13.21,52.77,7.28,0.15
26.23,13.73,52.54,7.26,0.23
25.12,12.56,53.9,8.11,0.32
26.76,13.42,52.6,7.1,0.12
27.43,12.97,52.15,7.16,0.29
25.78,13.93,52.28,7.87,0.14
25.96,13.32,53.13,7.45,0.14
26.31,13.03,53.03,7.54,0.09
26.29,13.07,53.15,7.2,0.29
26.51,12.47,53.14,7.76,0.12
27.03,13.45,52.02,7.28,0.22
26.3,13.26,53.0,7.2,0.24
26.41,13.5,53.01,6.94,0.13
26.34,12.92,53.39,7.1,0.25
26.34,13.27,53.18,6.9,0.31
27.08,13.44,52.31,7.14,0.02
27.03,13.17,52.81,6.79,0.19
26.61,13.76,52.2,7.12,0.31
25.74,12.11,53.8,8.2,0.16
26.65,13.36,52.51,7.37,0.1
26.25,13.62,52.34,7.59,0.2
26.5,12.8,53.28,7.22,0.21
26.66,13.4,52.86,6.81,0.27
26.27,13.49,52.85,7.15,0.24
27.25,12.88,52.54,7.19,0.14
26.03,13.72,52.34,7.69,0.23
27.68,12.48,52.4,7.29,0.15
27.13,13.29,52.3,7.15,0.12
26.35,15.87,51.2,6.59,0.0
26.79,13.38,52.61,7.06,0.17
26.57,13.01,53.12,7.16,0.13
27.1,13.75,52.07,6.94,0.13
26.64,13.31,52.7,7.23,0.13
27.02,13.49,52.64,6.79,0.06
26.61,13.66,52.5,7.09,0.14
27.25,12.65,52.45,7.52,0.13
27.1,13.11,52.92,6.52,0.35
27.14,14.38,51.53,6.85,0.1
26.68,13.81,52.73,6.67,0.1
26.29,13.43,53.12,7.04,0.12
26.13,13.81,52.81,7.14,0.11
28.15,11.82,53.5,6.53,0.0
26.6,13.27,53.17,6.84,0.12
25.9,14.25,52.76,7.0,0.09
26.56,13.72,52.61,6.97,0.15
26.36,13.62,52.8,7.11,0.11
25.95,13.96,52.95,7.06,0.08
27.09,13.1,52.37,7.21,0.23
26.71,12.97,52.63,7.53,0.16
26.95,13.49,52.56,6.9,0.11
26.21,13.49,53.18,7.04,0.08
27.49,13.0,52.08,7.23,0.2
26.55,13.35,52.3,7.64,0.15
27.15,13.56,52.43,6.8,0.06
27.28,13.02,52.62,6.89,0.19
27.45,13.08,52.35,7.01,0.1
27.13,13.36,52.62,6.77,0.12
26.11,13.67,52.99,7.11,0.11
28.05,12.32,52.25,7.24,0.14
26.96,13.3,52.22,7.27,0.25
26.26,13.79,52.84,7.02,0.09
26.98,13.71,52.52,6.58,0.2
26.19,12.81,53.52,7.26,0.23
26.09,13.72,52.97,7.12,0.11
26.15,13.62,52.99,7.14,0.1
27.06,13.25,52.55,6.94,0.19
28.06,12.47,52.08,7.27,0.12
25.89,14.22,52.7,7.12,0.08
27.12,14.08,51.47,7.15,0.18
27.06,13.91,52.18,6.7,0.15
27.74,12.42,52.45,7.19,0.19
27.21,13.45,52.31,6.93,0.11
26.53,13.76,52.09,7.35,0.27
26.68,14.01,52.56,6.66,0.09
25.99,13.92,52.96,7.04,0.1
26.68,13.54,52.51,7.11,0.16
26.97,13.15,52.31,7.38,0.2
26.21,13.93,52.75,7.01,0.1
27.09,13.1,52.74,6.91,0.15
26.5,13.67,52.57,7.11,0.15
27.19,12.88,52.48,7.21,0.24
26.68,13.19,52.96,6.94,0.23
27.25,13.31,52.27,6.98,0.19
26.8,13.38,52.86,6.62,0.34
26.77,13.26,52.48,7.32,0.17
26.72,13.28,52.64,7.13,0.23
26.96,13.39,52.43,7.08,0.14
28.0,12.38,52.25,7.18,0.19
27.09,14.21,51.63,6.91,0.17
26.38,13.11,53.11,7.21,0.19
27.39,13.02,52.3,7.1,0.19
26.34,13.29,53.1,7.08,0.18
26.83,13.57,52.53,6.94,0.12
26.14,13.11,52.83,7.78,0.15
26.56,13.14,52.98,7.18,0.15
26.93,13.75,52.33,6.89,0.1
27.19,14.14,51.64,6.87,0.16
27.01,14.24,51.54,7.12,0.1
26.66,13.5,52.53,7.12,0.2
26.32,13.04,53.55,6.76,0.32
27.99,12.39,52.43,7.05,0.15
26.91,13.39,52.57,6.95,0.18
26.76,13.48,52.31,7.26,0.2
26.61,13.76,52.63,6.87,0.13
25.86,14.1,53.02,6.92,0.1
27.47,13.07,52.49,6.71,0.26
26.27,13.79,52.87,6.99,0.09
26.5,13.81,52.61,6.94,0.13
26.89,13.61,52.3,7.12,0.07
26.98,12.77,53.03,7.09,0.13
26.37,13.7,52.74,7.1,0.09
26.37,13.66,52.81,7.05,0.11
26.39,13.42,53.25,6.86,0.07
27.0,14.09,51.86,6.93,0.12
26.3,13.53,52.27,7.81,0.1
26.58,13.78,52.07,7.35,0.21
25.73,14.67,52.32,7.18,0.1
26.76,13.24,52.6,7.25,0.15
26.67,14.12,52.33,6.75,0.12
26.94,13.05,52.88,6.94,0.2
27.0,13.28,52.81,6.63,0.27
26.97,13.93,52.13,6.87,0.09
26.84,13.44,52.78,6.81,0.13
26.19,13.63,52.96,7.15,0.08
25.91,13.21,52.21,7.63,1.04
27.98,12.46,52.21,7.13,0.22
27.04,13.59,52.63,6.65,0.1
26.57,13.57,52.55,7.12,0.19
26.65,13.38,52.39,7.34,0.25
26.56,13.08,52.91,7.24,0.21
26.79,13.41,52.37,7.26,0.17
26.92,13.29,52.74,6.92,0.13
26.18,13.86,52.93,6.95,0.08
26.91,13.83,51.79,7.37,0.1
26.99,13.13,52.8,6.91,0.18
26.97,13.38,52.37,7.07,0.21
27.11,13.34,52.7,6.59,0.26
27.06,13.34,52.51,6.93,0.17
26.85,13.42,52.5,7.01,0.22
27.05,13.36,52.55,6.93,0.11
25.98,13.19,52.6,7.7,0.54
26.98,13.18,52.45,7.21,0.18
26.66,12.94,53.44,6.72,0.23
26.32,13.08,53.38,6.87,0.34
26.95,13.12,52.25,7.14,0.55
26.21,14.3,52.59,6.83,0.07
26.63,12.98,52.69,7.46,0.22
25.75,14.22,52.2,7.55,0.28
27.06,13.73,52.07,6.98,0.16
25.89,13.6,52.8,6.99,0.72
27.33,13.28,52.34,6.85,0.21
27.29,13.14,52.41,6.99,0.17
26.31,13.35,52.86,7.1,0.38
26.03,12.59,53.46,7.59,0.34
26.4,13.66,52.51,7.15,0.29
26.63,12.23,53.49,7.26,0.39
25.39,14.2,53.03,7.04,0.34
26.74,13.83,51.86,7.27,0.3
26.64,13.29,52.28,7.47,0.32
26.02,13.35,53.19,7.11,0.32
26.64,12.95,53.2,7.05,0.17
24.94,14.43,53.18,7.04,0.4
26.35,13.58,52.72,7.09,0.25
26.9,13.44,52.08,7.37,0.21
25.54,12.58,54.51,7.08,0.29
26.62,13.73,52.68,6.81,0.17
25.29,12.73,53.27,7.98,0.73
27.05,13.64,51.73,7.39,0.2
27.07,13.28,52.54,6.83,0.27
26.37,13.71,52.49,7.03,0.39
26.49,14.55,52.19,6.73,0.04
26.85,12.61,52.87,7.46,0.21
26.48,13.15,52.54,7.52,0.31
26.88,13.41,52.63,6.82,0.25
26.55,13.42,52.44,7.24,0.35
25.96,13.2,53.29,7.11,0.44
27.26,12.64,52.15,7.37,0.58
26.14,13.38,53.08,7.15,0.25
26.98,12.85,52.86,7.13,0.18
26.67,13.03,53.03,6.92,0.35
26.34,13.47,52.54,7.15,0.5
27.15,13.13,52.35,7.09,0.27
27.29,12.78,51.91,7.84,0.18
26.09,13.8,52.48,7.37,0.25
26.83,12.91,52.63,7.22,0.41
26.53,12.36,53.87,6.86,0.38
26.65,13.23,52.81,7.06,0.25
26.2,13.0,52.66,7.58,0.57
26.47,13.28,52.6,7.42,0.24
26.07,12.62,53.72,7.4,0.19
26.71,13.3,52.55,7.12,0.32
26.01,13.7,52.44,7.77,0.08
26.09,13.54,52.6,7.55,0.22
27.31,13.89,51.77,6.92,0.12
26.82,13.13,52.36,7.42,0.27
26.84,13.4,52.28,7.29,0.19
27.31,13.0,52.31,7.32,0.06
25.86,13.07,53.11,7.58,0.38
26.46,13.39,52.82,7.07,0.25
26.41,13.07,52.74,7.44,0.33
26.35,12.2,52.64,8.34,0.47
26.88,13.64,51.89,7.33,0.26
25.68,13.98,53.2,6.65,0.49
26.43,13.74,52.53,7.03,0.27
27.34,13.03,51.67,7.72,0.24
27.28,13.29,52.21,7.04,0.18
27.25,12.5,52.21,7.43,0.61
26.65,13.05,53.09,6.99,0.22
27.14,12.87,52.87,7.01,0.11
28.83,12.77,51.76,6.5,0.13
25.74,14.7,52.64,6.64,0.28
26.89,13.29,52.36,7.26,0.21
26.46,13.71,52.45,7.07,0.31
25.63,13.7,53.32,7.1,0.26
26.4,13.69,52.07,7.63,0.21
26.28,13.23,52.61,7.52,0.36
26.53,13.14,52.9,7.3,0.14
26.52,13.6,52.73,6.81,0.34
25.98,13.15,53.22,7.32,0.32
26.32,12.43,52.88,7.57,0.8
26.3,13.54,52.54,7.24,0.39
25.87,13.08,53.29,7.53,0.23
26.71,13.67,52.09,6.86,0.66
26.34,12.99,52.85,7.32,0.51
26.2,12.47,53.4,7.47,0.45
26.47,13.09,53.14,7.11,0.19
25.9,13.33,52.82,7.57,0.38
26.63,12.96,52.94,7.27,0.21
26.47,13.16,52.15,7.91,0.31
26.82,12.84,52.74,7.24,0.35
25.97,12.79,53.39,7.51,0.34
25.87,13.5,52.37,7.87,0.4
27.75,13.17,52.08,6.97,0.03
26.4,13.34,53.12,6.83,0.32
26.12,13.5,52.33,7.62,0.44
27.51,12.86,52.39,7.03,0.21
25.41,13.75,52.2,8.16,0.48
26.97,13.01,52.22,7.63,0.17
26.94,13.0,52.41,7.18,0.47
26.37,13.5,52.54,7.21,0.38
26.35,13.52,52.95,6.93,0.26
26.03,13.66,52.43,7.68,0.2
25.28,14.24,52.26,7.22,1.0
26.0,13.76,52.48,7.55,0.21
26.4,13.23,53.08,7.06,0.23
27.1,13.57,51.63,7.48,0.22
25.78,12.8,53.2,7.82,0.4
27.2,13.51,51.9,7.26,0.13
26.29,13.69,52.47,7.21,0.34
27.31,12.95,52.31,7.16,0.27
26.28,12.23,53.85,7.21,0.43
26.14,13.33,52.77,7.42,0.35
26.52,13.35,52.59,7.25,0.29
27.02,13.25,52.79,6.75,0.19
27.2,13.16,51.96,7.56,0.13
26.07,13.86,52.68,7.17,0.22
26.27,13.38,52.15,7.25,0.96
26.12,13.54,52.7,7.25,0.39
25.8,13.91,52.0,7.63,0.66
26.97,13.35,52.18,7.26,0.24
26.78,13.39,52.4,7.35,0.08
26.57,13.01,53.06,6.95,0.41
26.21,12.86,53.49,7.07,0.37
27.07,12.98,52.46,7.15,0.35
26.34,13.95,52.43,7.0,0.28
26.21,13.13,53.31,6.92,0.43
26.59,12.71,53.32,6.91,0.46
26.37,14.13,52.51,6.89,0.1
26.68,14.19,51.48,7.52,0.13
26.4,12.22,53.94,7.12,0.33
26.15,13.55,52.54,7.1,0.65
26.59,12.24,53.46,7.37,0.33
25.81,14.99,51.33,7.03,0.85
26.55,12.62,53.69,6.85,0.3
26.63,13.94,52.0,6.6,0.83
26.58,13.73,52.1,7.46,0.13
26.39,13.67,52.8,6.84,0.29
25.76,13.73,53.11,7.02,0.38
26.76,13.14,53.03,6.84,0.23
26.49,13.48,52.94,6.94,0.15
26.22,13.9,52.11,7.42,0.34
26.96,13.71,52.12,7.03,0.18
26.87,13.17,52.73,7.11,0.12
26.22,12.99,52.84,7.22,0.73
26.11,13.97,52.65,7.23,0.04
26.43,13.22,53.12,6.97,0.25
26.47,12.75,53.71,6.95,0.12
26.54,12.81,53.26,7.02,0.36
26.65,13.0,52.87,7.25,0.24
26.67,13.19,52.99,6.74,0.41
25.53,13.19,53.53,7.22,0.53
26.06,13.87,52.46,7.45,0.17
26.5,13.15,52.79,7.29,0.27
26.01,13.63,52.42,7.77,0.17
25.59,13.94,52.6,7.63,0.24
25.54,12.19,54.49,7.58,0.21
26.43,13.44,52.38,7.31,0.45
27.48,13.05,51.61,7.63,0.23
26.15,13.37,52.6,7.37,0.5
26.85,12.73,52.89,7.01,0.53
26.29,13.69,52.19,7.42,0.4
26.41,13.3,52.58,7.41,0.31
26.81,13.26,52.5,7.24,0.19
26.69,13.29,52.58,7.09,0.35
26.79,12.78,52.99,7.25,0.19
26.31,13.52,52.56,7.27,0.34
26.49,12.99,52.94,7.29,0.3
27.07,13.12,52.82,6.53,0.46
26.71,13.45,52.7,6.99,0.16
25.96,13.22,52.6,7.74,0.48
28.55,12.77,51.57,6.76,0.35
27.79,13.05,52.21,6.72,0.23
26.55,13.2,53.1,7.04,0.11
26.33,13.33,52.55,6.93,0.87
26.31,12.49,53.75,7.24,0.22
25.94,12.96,52.37,8.29,0.44
26.22,13.28,53.11,7.27,0.12
25.5,13.86,53.16,7.01,0.47
26.01,13.63,52.29,7.56,0.51
27.14,12.98,52.3,6.89,0.68
26.73,13.6,52.52,6.93,0.21
26.61,13.25,52.82,7.09,0.23
26.4,14.14,51.71,7.53,0.22
25.94,13.17,53.21,7.2,0.48
26.95,13.51,51.73,7.57,0.24
28.47,12.78,51.86,6.75,0.13
26.93,12.97,52.42,7.42,0.26
26.41,13.42,52.21,7.71,0.24
27.46,12.8,52.64,6.96,0.14
27.34,13.1,52.21,7.07,0.28
26.29,13.07,52.29,7.65,0.7
25.9,12.76,53.83,7.02,0.48
26.05,14.12,52.73,7.04,0.06
27.29,13.26,51.99,7.29,0.18
26.67,13.96,52.12,7.08,0.17
25.97,13.48,52.14,8.0,0.42
27.1,13.34,52.21,7.23,0.13
26.97,12.98,52.86,6.9,0.29
26.41,13.23,52.48,7.38,0.5
26.39,13.24,52.74,7.42,0.21
25.94,13.09,52.83,7.44,0.71
26.52,13.71,51.52,7.5,0.76
26.97,12.56,52.83,7.25,0.39
26.31,13.78,52.24,7.23,0.44
26.19,13.19,53.39,6.6,0.63
26.1,12.69,53.24,7.45,0.52
26.94,13.83,52.3,6.62,0.32
26.99,13.21,52.4,6.7,0.7
26.94,12.72,52.67,7.43,0.25
26.86,13.29,52.77,6.73,0.36
25.46,14.12,52.5,7.69,0.22
26.85,13.58,52.3,7.02,0.24
26.31,13.51,52.88,7.11,0.18
26.25,12.57,53.46,7.34,0.37
26.97,13.2,52.37,7.27,0.2
26.56,12.59,52.23,8.33,0.3
26.32,12.97,53.08,7.21,0.41
26.48,13.41,52.49,7.15,0.48
26.25,13.69,52.76,6.86,0.43
26.39,13.24,52.69,7.33,0.36
26.2,13.19,52.78,7.61,0.22
26.86,13.72,52.26,7.05,0.12
26.8,13.91,52.11,7.06,0.12
26.37,12.28,53.73,7.07,0.55
28.19,12.55,52.89,6.34,0.03
25.87,13.75,52.55,7.01,0.82
26.23,13.37,53.4,6.72,0.27
26.1,13.38,53.0,7.47,0.04
26.86,13.18,52.05,7.65,0.25
27.09,12.96,52.38,7.17,0.39
26.64,12.69,52.65,7.73,0.29
26.93,13.56,52.37,6.94,0.21
27.03,14.14,51.84,6.68,0.31
26.51,14.42,51.99,6.93,0.16
25.63,12.9,53.22,7.8,0.45
26.11,13.99,52.53,7.11,0.25
25.63,13.51,52.45,7.91,0.5
26.94,12.94,53.1,6.93,0.09
26.89,13.67,52.22,7.11,0.12
26.04,12.62,53.9,7.09,0.35
25.56,13.56,53.17,6.91,0.8
26.82,12.41,52.97,7.35,0.44
27.04,13.08,52.52,7.17,0.19
26.12,13.78,52.49,7.33,0.29
26.41,12.99,52.78,7.16,0.66
25.88,12.44,53.86,7.64,0.19
26.12,13.8,52.15,7.6,0.33
26.34,13.64,52.42,7.21,0.39
26.61,13.41,52.35,7.32,0.31
25.81,12.97,53.6,7.43,0.18
26.29,13.06,53.56,6.78,0.31
26.36,13.41,52.38,7.49,0.36
26.35,13.91,52.8,6.86,0.07
27.66,13.25,51.67,7.34,0.08
26.14,13.35,52.96,6.99,0.56
26.07,13.23,52.96,7.4,0.35
26.98,13.2,52.62,6.8,0.41
26.86,13.63,51.36,7.88,0.27
26.5,12.93,53.34,6.92,0.3
26.77,13.61,51.97,7.48,0.16
26.79,12.65,53.52,6.92,0.12
27.06,13.22,52.13,7.36,0.23
27.14,12.85,52.42,7.05,0.54
26.45,13.5,51.61,7.93,0.51
26.03,15.16,51.37,7.08,0.35
26.45,13.45,51.86,7.9,0.33
26.96,13.27,52.27,7.2,0.31
26.5,13.21,52.42,7.39,0.47
26.77,13.33,52.3,7.07,0.53
27.02,14.1,51.83,6.9,0.15
26.85,13.2,52.95,6.86,0.13
25.64,13.38,52.75,7.75,0.48
27.12,12.32,52.62,7.49,0.45
25.84,12.94,53.39,7.26,0.56
26.82,13.39,52.75,6.8,0.24
26.62,12.37,52.96,7.77,0.29
25.62,14.08,52.61,7.47,0.22
25.87,14.1,51.99,7.64,0.4
25.99,13.86,52.59,7.32,0.24
25.92,13.14,53.11,7.42,0.41
26.3,13.13,53.13,7.3,0.14
26.02,14.06,52.63,7.24,0.06
27.18,12.67,52.41,7.44,0.3
28.29,12.23,53.11,6.33,0.03
27.09,13.14,52.49,7.1,0.18
26.25,13.86,52.3,6.86,0.73
25.81,13.7,52.89,7.45,0.15
25.59,14.28,52.49,7.49,0.15
27.14,13.11,52.69,6.71,0.35
27.04,13.49,52.38,6.9,0.2
26.87,13.16,52.83,6.93,0.21
25.86,13.02,52.41,8.2,0.5
25.91,13.96,53.09,6.85,0.2
26.78,13.32,52.02,7.24,0.64
26.79,13.44,52.01,7.36,0.4
26.39,13.29,52.2,7.79,0.34
26.68,13.64,52.14,7.33,0.22
27.2,12.72,52.72,7.03,0.33
26.25,13.73,52.52,7.17,0.34
25.7,13.33,52.89,7.11,0.96
26.99,14.19,51.33,7.31,0.18
26.22,13.18,53.4,7.07,0.13
25.47,12.47,54.33,7.25,0.48
26.81,13.3,52.45,7.07,0.38
26.98,13.57,52.02,7.19,0.23
26.66,13.29,52.64,7.1,0.31
26.37,13.38,53.05,7.0,0.2
27.06,13.21,51.86,7.64,0.22
25.52,13.64,53.61,6.72,0.51
27.12,13.29,52.43,7.01,0.15
25.63,14.15,52.76,7.1,0.36
26.76,13.94,52.21,6.98,0.11
26.99,13.75,52.0,7.15,0.11
26.55,13.32,52.53,7.32,0.27
25.84,13.34,53.35,7.08,0.39
26.26,13.65,52.28,7.67,0.14
26.91,13.36,52.56,7.0,0.17
27.09,12.58,53.59,6.62,0.11
26.27,13.2,52.28,7.83,0.43
27.14,13.18,52.49,6.99,0.2
26.13,13.44,52.66,7.56,0.2
27.35,12.67,52.8,6.96,0.21
25.51,13.64,53.45,6.82,0.59
27.45,12.95,52.01,7.45,0.14
26.29,13.13,53.05,7.28,0.25
26.97,13.65,52.13,7.08,0.16
24.85,14.22,53.69,6.88,0.36
26.39,13.43,52.01,7.87,0.31
26.83,13.16,53.01,6.75,0.25
25.95,13.28,52.66,7.97,0.15
26.21,12.98,52.69,7.81,0.31
27.01,13.08,52.75,6.95,0.21
27.24,12.52,52.86,7.3,0.08
26.58,13.2,52.57,7.53,0.11
26.95,14.22,51.65,6.89,0.28
26.23,12.74,53.71,7.07,0.25
26.04,13.68,52.36,7.55,0.37
26.46,13.47,52.36,7.37,0.34
26.34,13.61,52.35,7.32,0.38
27.07,13.97,51.79,7.07,0.09
26.09,13.33,52.17,8.19,0.22
26.35,13.43,52.45,7.41,0.36
26.87,13.15,52.74,7.03,0.21
25.96,13.99,52.6,7.3,0.16
27.06,13.2,52.55,7.09,0.11
26.15,13.84,52.31,7.38,0.32
26.37,12.67,53.17,7.4,0.39
26.53,13.09,53.19,6.88,0.3
26.4,13.12,53.17,7.07,0.23
26.9,13.32,52.59,7.06,0.14
25.91,13.78,52.51,7.59,0.21
26.16,13.66,51.56,8.19,0.43
26.05,14.41,51.64,7.25,0.66
26.66,13.02,52.48,7.43,0.42
26.42,13.28,52.37,7.2,0.73
26.49,13.19,53.28,6.91,0.14
25.96,12.98,52.75,7.87,0.44
26.36,12.86,52.89,7.31,0.58
25.95,12.92,53.14,7.59,0.39
26.16,12.28,53.51,7.37,0.68
26.13,14.18,52.64,6.99,0.07
26.28,13.47,52.48,7.47,0.3
26.8,13.45,52.61,6.83,0.31
26.62,13.55,52.17,7.45,0.21
25.84,12.94,53.41,7.23,0.58
26.7,12.6,53.8,6.58,0.32
27.24,13.24,52.2,7.18,0.14
26.82,13.48,52.04,7.44,0.22
26.27,13.36,52.99,7.07,0.3
26.83,13.93,52.34,6.84,0.06
25.96,14.76,51.69,7.19,0.4
26.46,14.0,52.18,7.16,0.2
25.88,12.84,52.72,8.24,0.32
26.77,13.58,52.46,6.95,0.23
26.38,13.36,52.44,6.95,0.87
26.84,13.86,51.96,7.14,0.2
26.05,13.08,53.26,7.12,0.49
26.53,13.75,52.11,7.36,0.25
26.78,13.82,52.2,7.02,0.18
26.42,13.25,52.87,7.2,0.27
25.67,13.55,53.27,7.37,0.14
26.29,13.5,52.41,7.58,0.23
28.55,12.38,52.23,6.6,0.25
26.29,12.98,52.8,7.63,0.3
26.36,13.62,52.49,6.64,0.89
26.84,13.39,52.21,7.19,0.37
26.78,13.05,53.07,6.5,0.61
26.66,13.24,52.62,7.12,0.36
26.08,14.1,52.11,7.31,0.4
25.39,13.68,52.36,7.99,0.58
26.3,13.89,52.26,7.2,0.34
27.02,13.26,52.1,7.41,0.2
26.14,12.72,53.61,7.16,0.37
27.49,13.18,52.3,6.84,0.18
25.35,12.57,54.08,7.62,0.38
25.78,12.14,53.16,8.64,0.29
25.83,13.3,52.94,7.78,0.15
26.53,13.01,53.06,6.98,0.42
27.08,13.39,52.49,6.85,0.19
26.51,13.41,52.71,7.16,0.2
26.55,14.28,52.24,6.74,0.19
26.41,13.75,52.16,7.43,0.24
26.03,13.61,52.82,7.34,0.19
26.53,13.73,52.54,7.08,0.12
26.18,13.37,52.69,7.46,0.3
26.24,12.99,53.13,6.92,0.73
26.16,13.26,52.46,7.46,0.65
26.07,13.56,52.68,7.45,0.24
25.87,13.18,52.27,8.24,0.44
25.55,14.04,51.11,9.17,0.13
26.63,13.78,52.2,7.26,0.14
27.52,12.5,52.84,6.95,0.19
26.47,13.88,52.13,7.35,0.17
26.96,13.13,52.68,6.99,0.24
26.23,13.72,52.39,7.32,0.34
26.57,13.26,52.83,7.12,0.22
26.96,12.7,53.42,6.76,0.16
26.79,12.44,53.01,6.99,0.77
26.14,13.39,52.97,7.44,0.05
25.96,13.22,53.17,7.39,0.26
26.1,12.96,53.38,7.34,0.22
26.37,12.95,52.92,7.42,0.34
26.77,13.86,52.22,7.07,0.09
27.0,12.95,53.15,6.29,0.61
26.49,13.19,52.75,7.38,0.19
26.12,13.75,52.34,7.31,0.48
26.18,13.33,53.09,6.93,0.46
26.17,13.03,53.39,7.27,0.14
26.64,14.19,52.15,6.87,0.16
25.63,13.47,53.15,7.47,0.28
26.39,12.84,52.95,7.51,0.31
26.24,12.55,53.8,6.87,0.54
